Table Name,Schema,Description
PalletType,dbo,"Pallet type specifications and capacity. Key columns: PalletTypeId (PK), Code, Name, Dimension, LoadCapacity, TenantId. Pallet classification system."
Partner,dbo,"Business partner and vendor registry. Key columns: PartnerId (PK), Code, Name, ContactPerson, Email, PhoneNumber, Address, PartnerType, TenantId. Partner relationship management."
PassengerItinerary,dbo,"Passenger booking and travel details. Key columns: PassengerId (PK), ReservationId, LegNumber, PassengerName, Gender, DOB, Phone, Email, FlightId, TenantId. Passenger management system."
PassengerUser,dbo,"Passenger mobile app user accounts. Key columns: UserId (PK), Username, DisplayName, Email, PasswordHash, MobilePhoneNumber, FBToken. Passenger self-service system."
Patients,dbo,"Patient registry with medical and contact information. Key columns: PatientID (PK), FullName, UniqueID, ContactNumber, NationalityID, DoB, Gender, BMI, StatusID. Healthcare patient management."
ReaderMaster,dbo,"RFID/NFC reader device configuration. Key columns: ReaderId (PK), Code, ReaderType, MacAddress, IPAddress, Port, NumberOfAntenna, LocationId, TenantId. IoT reader infrastructure."
RolePermissions,dbo,"Role-based permission assignments. Key columns: RolePermissionId (PK), RoleId (FK), PermissionKey. Security access control system."
Roles,dbo,"User role definitions and hierarchy. Key columns: RoleId (PK), RoleName, RoleKey, TenantId, InsertUserId. Role-based access control."
SavedViews,dbo,"User-customized data views and filters. Key columns: Id (PK), TenantId, UserId, ViewName, TableQuery, Columns, CreatedAt, IsDefault. Personalized data visualization."
ScanPoint,dbo,"Checkpoint and scanning location registry. Key columns: ScanPointId (PK), ScanPoint, ScanType, AirportId, TenantId. Baggage and cargo scanning operations."
ScanPointDetail,dbo,"User access to specific scan points. Key columns: Id (PK), UserId (FK), ScanPointId (FK), TenantId. Access control for scanning operations."
StockCount,dbo,"Inventory stock count scheduling and management. Key columns: StockCountId (PK), ScheduleDate, UserId, Status, CreatedOn. Inventory audit operations."
StockCountAsset,dbo,"Asset verification during stock counts. Key columns: StockCountAssetId (PK), StockCountId (FK), AssetId (FK), Status, CheckedOn, CheckedBy. Asset audit tracking."
SystemSettings,dbo,"System configuration and parameter management. Key columns: Id (PK), SettingName, SettingValue, TenantId. Application configuration system."
TableauGroup,dbo,"Tableau report grouping and organization. Key columns: GroupId (PK), Name, ParentId, ModuleId. Business intelligence report organization."
TableauReport,dbo,"Tableau report registry and access control. Key columns: ReportId (PK), PermissionName, Name, URL, Options, Icon, GroupId, ModuleId. BI report management."
TableauReportTags,dbo,"Report tagging and categorization system. Key columns: TagId (PK), Name, ReportId (FK). Report metadata management."
TableauReportUserAndRole,dbo,"Report access control by user and role. Key columns: Id (PK), ReportId (FK), ReferenceId, ReferenceType. Report security management."
TenantModule,dbo,"Module activation per tenant configuration. Key columns: TenantModuleId (PK), ModuleId (FK), TenantId (FK). Multi-tenant feature control."
Tenants,dbo,"Multi-tenant organization registry. Key columns: TenantId (PK), TenantName, HQ, TenantType, TenantEmail, TenantKey. Multi-tenancy management."
TenantSettings,dbo,"Tenant-specific configuration settings. Key columns: Id (PK), Name, Value, TenantID. Tenant customization system."
TicketAttachments,dbo,"Support ticket file attachments. Key columns: AttachmentId (PK), FileName, TicketHistoryId (FK), FileUrl, UploadedOn. Ticket documentation system."
TicketHistory,dbo,"Support ticket conversation and resolution tracking. Key columns: TicketHistoryId (PK), TicketId (FK), Description, Reply, CreatedOn, CreatedBy. Ticket lifecycle management."
TicketIssueType,dbo,"Support ticket issue type classification. Key columns: IssueTypeId (PK), Name. Ticket categorization system."
TicketPriority,dbo,"Support ticket priority levels. Key columns: PriorityId (PK), Name. Ticket prioritization system."
Tickets,dbo,"Support ticket registry and status tracking. Key columns: TicketId (PK), Title, Description, PriorityId, IssueTypeId, ModuleId, Status, CreatedOn, TenantId, TicketNumber. Help desk system."
TimeZone,dbo,"Global timezone reference data. Key columns: id (PK), TimeZoneName, TimeZoneValue. Timezone management for global operations."
tmpAccessControl,dbo,"Temporary access control data for device synchronization. Key columns: Id (PK), DeviceID, OperatorID, Position, IMEI, CardID. Device access management."
tmpCommands,dbo,"Temporary command queue for device communication. Key columns: Id (PK), DeviceID, Command, PushDate, Response, ResponseDate. IoT device command system."
Tool,dbo,"Tool registry with lifecycle and maintenance tracking. Key columns: ToolId (PK), Description, UniqueId, ToolTypeId, DateOfPurchase, RequireCalibration, Status, LocationId, TenantId. Tool management system."
ToolCategory,dbo,"Tool category classification system. Key columns: ToolCategoryId (PK), Code, Description, IsActive, CanDepreciate, CanReserve, TenantId. Tool categorization."
ToolHistory,dbo,"Tool usage and maintenance history tracking. Key columns: ToolHistoryId (PK), ToolId (FK), Type, Description, CreatedOn, CreatedBy. Tool lifecycle audit."
ToolMaintainenceSchedule,dbo,"Tool maintenance scheduling configuration. Key columns: TMSId (PK), ScheduleName, ScheduleType, NoOfDays, NoOfCycles, TenantId. Preventive maintenance planning."
ToolReservation,dbo,"Tool checkout and reservation system. Key columns: ToolReservationId (PK), ReservationNumber, ToolId (FK), ReservedFrom, ReservedTo, ReservedBy, TenantId. Tool availability management."
Toolset,dbo,"Tool kit and set configuration. Key columns: ToolsetId (PK), Code, Description, CreatedBy, CreatedOn, TenantId. Tool grouping system."
ToolsetDetail,dbo,"Tool kit composition and quantities. Key columns: ToolsetDetailId (PK), ToolsetId (FK), ToolTypeId (FK), Quantity. Tool kit management."
ToolType,dbo,"Tool type specifications and maintenance schedules. Key columns: ToolTypeId (PK), Code, Description, Manufacturer, ModelNumber, TMSId, TenantId. Tool classification system."
TrolleyMaster,dbo,"Trolley tracking and management system. Key columns: TrolleyId (PK), TagId, SerialNumber, TrolleyTypeId, ServiceDate, LastSeenTime, LastSeenLocation, Status, TenantId. Trolley operations."
TrolleyTypeMaster,dbo,"Trolley type classification system. Key columns: TrolleyTypeId (PK), Code, Name, TenantId. Trolley categorization."
UserOwner,dbo,"User to owner association for access control. Key columns: Id (PK), UserId (FK), OwnerId (FK). User-owner relationship management."
UserPermissions,dbo,"User-specific permission overrides. Key columns: UserPermissionId (PK), UserId (FK), PermissionKey, Granted. Granular permission management."
UserPreferences,dbo,"User interface preferences and customizations. Key columns: UserPreferenceId (PK), UserId, PreferenceType, Name, Value. User experience personalization."
UserRoles,dbo,"User to role assignment mapping. Key columns: UserRoleId (PK), UserId (FK), RoleId (FK). Role-based access control assignments."
Users,dbo,"Core user authentication and profile management. Key columns: UserId (PK), Username, DisplayName, Email, PasswordHash, IsActive, MobilePhoneNumber, TenantId, TwoFactorEnabled. User management system."
UserStation,dbo,"User to station/location assignment. Key columns: Id (PK), UserId (FK), StationId (FK). Location-based access control."
UserWidget,dbo,"User dashboard widget configuration. Key columns: UserWidgetId (PK), WidgetId (FK), OrderId, UserId (FK). Personalized dashboard management."
UtilizationHistory,dbo,"Location utilization tracking over time. Key columns: Id (PK), TStamp, LocationID, Utilization, TotalCount. Capacity analytics and reporting."
VersionInfo,dbo,"Database schema version tracking for migrations. Key columns: Version (PK), AppliedOn, Description. Database change management."
Voltage,dbo,"Asset voltage threshold configuration. Key columns: AssetNo, LowVoltage, UnderVoltage, OverVoltage. Equipment monitoring thresholds."
WarehouseMaster,dbo,"Warehouse facility registry and configuration. Key columns: WarehouseId (PK), WarehouseCode, WarehouseName, Image, TenantId. Warehouse management system."
WheelchairMaster,dbo,"Wheelchair tracking and management system. Key columns: WheelchairId (PK), TagId, SerialNumber, WheelchairTypeId, ServiceDate, LastSeenTime, Status, TenantId. Accessibility equipment management."
WheelchairTypeMaster,dbo,"Wheelchair type classification system. Key columns: WheelchairTypeId (PK), Code, Name, TenantId. Wheelchair categorization."
wlog_Currency,dbo,"Work log currency reference data. Key columns: CurrencyCode (PK). Financial currency support for work logging."
wlog_Customer,dbo,"Work log customer registry. Key columns: CustomerId (PK), UserId, Name, HourlyRate, CurrencyCode. Customer billing management."
wlog_Employee,dbo,"Work log employee registry. Key columns: EmployeeId (PK), UserId, Name. Employee time tracking."
wlog_EmployeePricing,dbo,"Employee billing rates by customer and project. Key columns: EmployeePricingId (PK), EmployeeId (FK), CustomerId (FK), ProjectId, HourlyRate, CurrencyCode. Billing rate management."
wlog_Invoice,dbo,"Work log invoice generation and tracking. Key columns: InvoiceId (PK), CustomerId (FK), InvoiceNo, Date, Amount, CurrencyCode. Billing system."
wlog_Project,dbo,"Work log project registry and billing rates. Key columns: ProjectId (PK), CustomerId (FK), Name, EndCustomer, HourlyRate, CurrencyCode. Project management."
wlog_WorkLog,dbo,"Time tracking and work log entries. Key columns: WorkLogId (PK), ProjectId (FK), EmployeeId (FK), Tasks, Description, StartDate, EndDate, Price. Time and billing tracking."
WorkStationMaster,dbo,"Work station configuration and specifications. Key columns: WSId (PK), WSNumber, WSSize, TenantId. Work station management."
WorkStationSchedule,dbo,"Work station scheduling and flight assignments. Key columns: WSSId (PK), WSId (FK), StartDate, EndDate, OperationType, FlightNumber, TenantId. Work station operations."
_TrackingDataDaily,gse,"Daily aggregated tracking data for GSE devices. Key columns: TrackingDataDailyId (PK), DeviceID (FK), LastPingTime, TotalPingCount, LastBatteryLevel, LastFuelLevel, LastValidLatitude, LastValidLongitude, TenantId. IoT device analytics."
AircraftGSE,gse,"Aircraft to GSE equipment mapping and assignments. Key columns: MappingId (PK), Make, Model, Assigned, ResourceCode, TenantId. Aircraft-equipment compatibility matrix."
AircraftMaster,gse,"Aircraft specifications with IATA/ICAO codes. Key columns: AircraftId (PK), IATACode, ICAOCode, AircraftModel, AircraftCategory, TenantId. Aviation industry standard aircraft data."
AirlineMaster,gse,"Airline carrier registry with industry codes. Key columns: AirlineId (PK), Code, Name, TenantId. Aviation industry carrier data."
AssetTrips,gse,"GSE asset trip tracking and analytics. Key columns: TripID (PK), AssetID, StartTime, EndTime, TotalDistance, MaxSpeed, AvgSpeed, Operator, IdleDurationSecs, TotalDriveTimeSecs. Trip analytics and reporting."
AVPHistory,gse,"Airport Vehicle Permit history and compliance tracking. Key columns: AVPHistoryID (PK), GSEID (FK), AVPNumber, IssueDate, ExpiryDate, IssuedBy, StationID, IsCurrent. Regulatory compliance management."
Category,gse,"GSE equipment category classification. Key columns: CategoryID (PK), CategoryName, CategoryCode, CompanyID, AssetType, TenantId. Equipment categorization system."
ContractEquipment,gse,"Contract-based equipment allocation and scheduling. Key columns: TID (PK), ContractFlightId, ContractID, AssetTypeID, AssetCount, ActivityType, StartPhase, EndPhase, TenantId. Contract management."
ContractFlight,gse,"Contract flight specifications and requirements. Key columns: ContractFlightId (PK), AirlineId, FlightDuration, MissionType, AircraftId, ContractId, TenantId. Flight contract management."
Contracts,gse,"Service contract registry and lifecycle management. Key columns: ContractID (PK), ContractName, ContractType, StartDate, EndDate, InvoicingPeriod, Status, TenantId. Contract administration."
ContractVersion,gse,"Contract version control and change tracking. Key columns: ContractVerId (PK), ContractId (FK), VersionNo, VersionDescription, CreatedDate, CreatedBy. Contract versioning system."
DashBoardChartsDaily,gse,"Daily dashboard metrics for GSE operations. Key columns: DashBoardChartsDailyId (PK), DeviceID, DeviceName, FuelConsumption, Mileage, EngineHours, AverageSpeed, MaximumSpeed. Operational analytics."
DashBoardSummary,gse,"Real-time dashboard summary for GSE fleet. Key columns: DashBoardSummaryId (PK), DeviceID, DeviceName, MessageOn, ConnectionState, LastMessageOn, LastPositionLocation. Fleet status monitoring."
DemandForecasting,gse,"GSE demand forecasting and capacity planning. Key columns: AutoID (PK), GSETypeID, GSETypeName, TimeSlot, Count, TenantId. Predictive analytics for resource planning."
DeviceDetails,gse,"IoT device configuration and sensor specifications. Key columns: DeviceID (PK), IMEINumber, CompanyID, TimeZoneId, DeviceType, LastSeenTime, LastSeenLocation, EnginePort, FuelPort, TenantId. IoT device management."
DeviceEvents,gse,"Real-time device event streaming and alerting. Key columns: Id (PK), DeviceID, EventType, EventTime, ELatitude, ELongitude, EventData, isAlarm, AssetID, EngineStatus, OpStatus. Event-driven monitoring."
DeviceEventsTemp,gse,"Temporary device event staging table. Key columns: Id (PK), DeviceID, EventType, EventTime, ELatitude, ELongitude, EventData, isAlarm, AssetID. Event processing pipeline."
DeviceLog,gse,"Historical device telemetry and GPS tracking data. Key columns: Id (PK), DeviceID, Latitude, Longitude, Heading, Speed, DriverID, TStamp, GPSTime, AssetID, LocationID. Telemetry data warehouse."
DevicePeriodEvents,gse,"Device state change events with duration tracking. Key columns: Id (PK), DeviceID, EventType, StartTime, EndTime, StartLat, StartLong, EndLat, EndLong, EventData, AssetID. State transition analytics."
DeviceThreshold,gse,"Device alert threshold configuration. Key columns: Id (PK), DeviceTypeID, SignalType, ShouldRemainForSecs, ConditionExpression, LowValue, HighValue, EventID. Alert configuration system."
DriverActivityDaily,gse,"Daily driver activity and performance metrics. Key columns: DriverActivityDailyDailyId (PK), DriverID, Beginning, End, TotalDuration, DrivingDuration, IdleDuration, Mileage, TenantId. Driver performance analytics."
DriverAllocation,gse,"Driver to asset assignment and scheduling. Key columns: DriverAllocationId (PK), DriverID (FK), AssetId, StartDate, EndDate, Active, TenantId, ResourceCode. Driver resource management."
DriverAssessment,gse,"Driver performance assessment and scoring. Key columns: DriverAssessmentId (PK), DriverID, DriverName, VehicleID, Rating, Violations, Duration, Mileage, Trips, TenantId. Driver evaluation system."
DriverDetails,gse,"Driver registry with licenses and certifications. Key columns: DriverID (PK), DriverName, DoB, LicenseNo, LicenseType, ExpiryDate, BadgeID, CardID, Email, Phone, CompanyID, TenantId. Driver management system."
DriverGroupAllocation,gse,"Driver group assignment for access control. Key columns: DriverGroupId (PK), DriverID (FK), TenantId, GSEGroupId. Group-based driver management."
DriverGSEType,gse,"Driver certification for specific GSE types. Key columns: DriverGSETypeId (PK), DriverId (FK), GSETypeID (FK). Driver qualification tracking."
DrivingLogBook,gse,"Driver logbook entries and trip records. Key columns: DrivingLogBookId (PK), Beginning, End, Duration, InitialLocation, FinalLocation, Mileage, DriverID, FlightNo, MissionID, TenantId. Driver activity logging."
EngagementStandards,gse,"Service level standards and engagement rules. Key columns: StandardId (PK), CategoryCode, Eng_Std_Phase, Eng_Std_BeginType, Eng_Std_BeginMint, Eng_Std_EndType, Eng_Std_EndMint, ResourceUnits, TenantId. Service standard definitions."
EquipmentMaintenanceThresholds,gse,"Equipment-specific maintenance threshold overrides. Key columns: ThresholdID (PK), GSEID (FK), MaintenanceTypeID (FK), CustomUsageThreshold. Maintenance customization."
EventTypes,gse,"Event type definitions for device monitoring. Key columns: Id (PK), EventName, isAlarm, EventColor, TenantId, TriggerOn, EmailMsg, SMSMsg. Event configuration system."
ExcepFuel,gse,"Fuel level exception tracking and alerts. Key columns: FuelExceptionId (PK), VehicleID, AssetID, GSEType, FuelLevel, Status, GeoLocation, ExceptionNotes, TenantId. Fuel monitoring system."
ExcepMaintenance,gse,"Maintenance exception tracking and overdue alerts. Key columns: MaintExceptionId (PK), VehicleID, AssetID, DueOnDate, DueDays, MaintenanceStatus, ExceptionNotes, GSEType, TenantId. Maintenance compliance monitoring."